index,season,episode,episode_name,director,writer,character,text,text_w_direction,imdb_rating,total_votes,air_date
22350,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,"Shhh! Don't excite him. Don't make him excitable. Welcome back, Stanley.","Shhh! Don't excite him. Don't make him excitable. [whispering] Welcome back, Stanley.",9.6,5948,2009-02-01
22351,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Stanley,"Thank you, Michael.","Thank you, Michael.",9.6,5948,2009-02-01
22352,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Stanley,"It's true. Around this office, in the past, I have been a little abrupt with people...","It's true. Around this office, in the past, I have been a little abrupt with people...",9.6,5948,2009-02-01
22353,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Stanley,Not maybe. Yes or no.,[flashback] Not maybe. Yes or no.,9.6,5948,2009-02-01
22354,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Stanley,No way. Uh-uh.,[flashback] No way. Uh-uh.,9.6,5948,2009-02-01
22355,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Stanley,Are you from another planet?,[flashback] Are you from another planet?,9.6,5948,2009-02-01
22356,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Stanley,"Boy, have you lost your mind? 'Cause I'll help you find it.","[flashback] Boy, have you lost your mind? 'Cause I'll help you find it.",9.6,5948,2009-02-01
22357,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Stanley,Did I stutter?,[flashback] Did I stutter?,9.6,5948,2009-02-01
22358,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Stanley,I'm done. Goodbye.,[flashback] I'm done. Goodbye.,9.6,5948,2009-02-01
22359,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Stanley,But the doctor said if I can't find a new way to relate more positively to my surroundings I'm going to die.,But the doctor said if I can't find a new way to relate more positively to my surroundings I'm going to die.,9.6,5948,2009-02-01
22360,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,Andy.,Andy.,9.6,5948,2009-02-01
22361,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Andy,A throne for your highness.,[in a British accent] A throne for your highness.,9.6,5948,2009-02-01
22362,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Stanley,I'm not sitting in a wheelchair.,I'm not sitting in a wheelchair.,9.6,5948,2009-02-01
22363,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,"No, no, no. No debate. You are going to sit in that wheelchair until you are back on your feet.","No, no, no. No debate. You are going to sit in that wheelchair until you are back on your feet.",9.6,5948,2009-02-01
22364,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Stanley,I'm going to die.,I'm going to die.,9.6,5948,2009-02-01
22365,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,CPR trainer,"A-B-C. Okay? And hat stands for... airway, breathing and circulation.","A-B-C. Okay? And hat stands for... airway, breathing and circulation.",9.6,5948,2009-02-01
22366,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,"Okay, you know what? That could be a little confusing, because in sales A-B-C means ""always be closing.""","Okay, you know what? That could be a little confusing, because in sales A-B-C means ""always be closing.""",9.6,5948,2009-02-01
22367,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Dwight,This is a farce. I should be teaching this course.,This is a farce. I should be teaching this course.,9.6,5948,2009-02-01
